Material,Material Type,Description,Base UOM,Material Group
20000135,ZSTO,"CASING PIPE 9-5/8"" 47.00PPF L80 BTC SHORT SHORT CASING PIPE 6 METERS",NO,2
20000136,ZSTO,"CASING PIPE 9-5/8"" 47.00PPF P110 ABTC-II SHORT PREMIUM ABTC-II SHORT CASING 6-9 METER",NO,2
20000137,ZSTO,"CASING PIPE 20"" OD, X-52 GRADE 0.438""W.T.WITH VETCO RL-4S, MULTISTART CONNECTOR",M,2
20000138,ZSTO,"CASING PIPE 9 5/8"" 47 PPF L-80 9 5/8"" CRA 28 PREMIUM CONNECTION",M,2
20000139,ZSTO,"CASING PIPE 10-3/4"" 60.70PPF L-80 PREMIUM HSL-HC",M,2
20000140,ZSTO,"PREM CASING 7"" P-110 29 PPF BGC PREMIUM CONNECTION",M,2
20000141,ZSTO,"PREM CASING 5-1/2"" P110, 20 PPF BGC CONNECTION",M,2
20000142,ZSTO,"CASING PIPE 9 5/8"" L-80, 47PPF FOX CONNECTION",M,2
20000143,ZSTO,"PREM CASING 9-5/8"", P-110 47 PPF FOX PREMIUM CONNEC",M,2
20000144,ZSTO,"PREM CASING 7"" Q-125 35 PPF, HSL-HC",M,2
20000145,ZSTO,"PREM CASING 7"",P-110,35 PPF,BGC PREMIUM CONNECTION",M,2
20000146,ZSTO,"PREM CASING 5"",P-110 18#,HSL-HC FLUSH JT",M,2
20000147,ZSTO,"CASING PIPE 9 5/8"" 47PPF L-80,13 CR,PREMIUM",M,2
20000148,ZSTO,"CASING PIPE 10-3/4"" 60.70PPF L-80 PREMIUM 13 CR",M,2
20000149,ZSTO,"CASING PIPE 20"" 203 PPF,1"" W.T.,X-56 MULITISTART CONNEC",M,2
20000150,ZSTO,"CASING PIPE 20"" 169 PPF,0.812 W.T. X-56,MULTISTART",M,2
20000151,ZSTO,"CASING PIPE 14"" 82.5 PPF L-80,BTC",M,2
20000152,ZSTO,"CASING PIPE 36"", 2""W.T,X-52,726 PPF MULTISTART CONNECT",M,2
20000153,ZSTO,"CASING PIPE 14"" 92.68 PPF L-80,BTC",M,2
20000154,ZSTO,"PREM CASING 9-5/8"", L-80, 13 CR, 47 PPF PREMIUM CONNECTION",M,2
20000155,ZSTO,"CASING PIPE 20""OD,X-56,0.625""WT 4 MTRSMULTISTART CONNECTIONS",NO,2
20000156,ZSTO,"CASING PIPE 20""OD,X-56,0.625""WT 6 MTRSMULTISTART CONNECTIONS",NO,2
20000157,ZSTO,"CASING PIPE 20""OD,X-56,0.625""WT 8 MTRSMULTISTART CONNECTIONS",NO,2
20000158,ZSTO,"CASING PIPE 20""OD,X-56,0.625""WT 10 MTRS MULTISTART CONNECTIONS",NO,2
20000159,ZSTO,"CASING PIPE 13-3/8"",P-110 68# BTC 4 MTRS SHORT LENGTH CASING PIPE",NO,2
20000160,ZSTO,"CASING PIPE 13-3/8"",P-110 68# BTC 6 MTRS SHORT LENGTH CASING PIPE",NO,2
20000161,ZSTO,"CASING PIPE 13-3/8"",P-110 68# BTC 8 MTRS SHORT LENGTH CASING PIPE",NO,2
20000162,ZSTO,"CASING PIPE 13-3/8"",P-110 68# BTC 10 MTRS SHORT LENGTH CASING PIPE",NO,2
20000163,ZSTO,"CASING PIPE 9-5/8"",P-110 47# BTC 4 MTRS SHORT LENGTH CASING PIPE",NO,2
20000164,ZSTO,"CASING PIPE 9-5/8"",P-110 47# BTC 6 MTRS SHORT LENGTH CASING PIPE",NO,2
20000165,ZSTO,"CASING PIPE 9-5/8"",P-110 47# BTC 8 MTRS SHORT LENGTH CASING PIPE",NO,2
20000166,ZSTO,"CASING PIPE 9-5/8"",P-110 47# BTC 10 MTRS SHORT LENGTH CASING PIPE",NO,2
20000167,ZSTO,"CASING PIPE 7"",P-110 29# BTC 4 MTRS SHORT LENGTH CASING PIPE",NO,2
20000168,ZSTO,"CASING PIPE 7"",P-110 29# BTC 6 MTRS SHORT LENGTH CASING PIPE",NO,2
20000169,ZSTO,"CASING PIPE 7"",P-110 29# BTC 8 MTRS SHORT LENGTH CASING PIPE",NO,2
20000170,ZSTO,"CASING PIPE 7"",P-110 29# BTC 10 MTRS SHORT LENGTH CASING PIPE",NO,2
20000171,ZSTO,"CASING PIPE 9 5/8"" P-110 47 PPF PREMIUM JOINT PREMIUM JOINT SHORT CASING 6 METER",NO,2
20000172,ZSTO,"CASING PIPE 9 5/8"" P-110 47 PPF PREMIUM JOINT PREMIUM JOINT SHORT CASING 9 METER",NO,2
20000173,ZSTO,"CASING PIPE 5-1/2"",P110,20PPF .. PREMIUM JOINT PREMIUM JOINT SHORT CASING 6 METER",NO,2
20000174,ZSTO,"CASING PIPE 5-1/2"",P110,20PPF .. PREMIUM JOINT PREMIUM JOINT SHORT CASING 9 METER",NO,2
20000175,ZSTO,"CASING PIPE 36""OD,X-52,1.5"" W.T. BEVELED END X MSC BOX,SDRB LEOPA",NO,2
20000176,ZSTO,"CASING PIPE 36"" OD, X-52, 1.5"" PIN ENDMULITISTART SDRB WELDED WITH 3 M PUP JOINT",NO,2
20000177,ZSTO,"CASING PIPE 36""OD,X-52,1.5"" W.T. MULTISTART CONNECTOR SDRB",M,2
20000178,ZSTO,"CASING PIPE 11-3/4"" FJ, P110 60PPF",M,2
20000179,ZSTO,"CASING PIPE 9 5/8"" FJ,P110 47 PPF",M,2
20000180,ZSTO,"CASING PIPE 14"" 93 PPF L-80,BTC",M,2
20000181,ZSTO,"CASING PIPE 5 1/2"" 23 PPF Q125 PREMIUM",M,2
20000182,ZSTO,"CASING PIPE 13-3/8"" 68 PPF L80 BTC SHORT 9 MTR",NO,2
20000183,ZSTO,"CASING PIPE 9 5/8"" 47 PPF L80 BTC SHORT 9 MTR",NO,2
20000184,ZSTO,"CASING PIPE 9-5/8"" 47.00PPF P-110 BTC SHORT 9 MTR",NO,2
20000185,ZSTO,"CASING PIPE 36"" X-52,1.5"" W.T. WITH LEOPARD SDRB MULTI START CONNECTOR",M,2
20000186,ZSTO,"CASING PIPE 36"" X-52, 1.5"" W.T. WITH LEOPARD SDRB BOX AND OTHER END BEVELED",NO,2
20000187,ZSTO,"CASING PIPE 5-1/2"" OD 20PPF P110 FLUSHJOINT",M,2
20000188,ZSTO,"CASING PIPE 7 5/8"" OD 33.7PPF P110 FLUSH JOINT",M,2
20000189,ZSTO,"PREM CASING 7"" P-110,35# 4 METER SHORTCASING",NO,2
20000190,ZSTO,"PREM CASING 7"" P-110,35# 5 METER SHORTCASING",NO,2
20000191,ZSTO,"PREM CASING 7"" P-110,35# 6 METER SHORTCASING",NO,2
20000192,ZSTO,"PREM CASING 7"" P-110,35# 7 METER SHORTCASING",NO,2
20000193,ZSTO,"PREM CASING 7"" P-110,29# 4 METER SHORTCASING",NO,2
20000194,ZSTO,"PREM CASING 7"" P-110,29# 5 METER SHORTCASING",NO,2
20000195,ZSTO,"PREM CASING 7"" P-110,29# 6 METER SHORTCASING",NO,2
20000196,ZSTO,"PREM CASING 7"" P-110,29# 7 METER SHORTCASING",NO,2
20000197,ZSTO,"CASING PIPE 10-3/4"" 60.70PPF L-80 PREMIUM 13 CR BGC",M,2
20000198,ZSTO,"CASING PIPE 9 5/8"",47PPF PREMIUM L-80,13 CR BGC",M,2
20000199,ZSTO,"CASING PIPE 7"" OD 29 PPF L-80,PREMIUM JOINT",M,2
20000200,ZSTO,"CASING PIPE 20"" OD, X-56, 0.625"" SHORTPIPE 3 M SHORT CASING PIPE",NO,2
20000201,ZSTO,"CASING PIPE 13-3/8"",P-110 68PPF 3 M SHORT CASING PIPE",NO,2
20000202,ZSTO,"CASING PIPE 9 5/8"" P-110 47 PPF 3 M SHORT CASING PIPE",NO,2
20000203,ZSTO,"CASING PIPE 4-1/2"" 15.10PPF Q-125 PREMIUM 15 CR",M,2
20000204,ZSTO,"CASING PIPE 9 7/8"" 68.8 PPF C110,TSH BLUE DPLS SPECIAL DRIFT 8.5""",M,2
20000205,ZSTO,"CASING PIPE 9 5/8"" 53.5 PPF,L/JOINT 125 KSI, 7-8 MTR TSHB B X TSHB DPLS PIN,DRIFT 8.5""",NO,2
20000206,ZSTO,"CASING PIPE 20""OD,X-56,0.625""WT 4M LEOPARD SIF MULTISTART CONNECTOR",NO,2
20000207,ZSTO,"CASING PIPE 20""OD,X-56,0.625""WT 6M LEOPARD SIF MULTISTART CONNECTOR",NO,2
20000208,ZSTO,"CASING PIPE 9-5/8"" 47.00PPF L-80,13 CR, FOX",M,2
20000209,ZSTO,"CASING PIPE 5"" 23.2PPF P-110 ABSTL R3",M,2
20000210,ZSTO,"CASING PIPE 20"" 133.00PPF J-55 HSLB",M,2
20000211,ZSTO,"CASING PIPE 20"" 129.3PPF X-56 RL4S",M,2
20000212,ZSTO,"CASING PIPE 5 1/2"" 23 PPF P-110 5.5"" LINER 23 PPF P110 HC, 4.67 ID, NSCC",M,2
20000213,ZSTO,"CASING PIPE 9 7/8"" 68.8 PPF C110 TSH BLUE",M,2
20000214,ZSTO,"CASING PIPE L/JOINT 125KSI SS SD 8.5"",9 7/8"" TSH BLUE P(68.8#) X 9 5/8""TSH BLU B(53.5#)",NO,2
20000215,ZSTO,"CASING PIPE 20"" 106.50PPF J-55 BTC 20""106.5# J 55 BTC PIN X BOX 5MTRS",NO,2
20000216,ZSTO,"CASING PIPE 20"" 106.50PPF K-55 BTC PJ:20"" 106.5#-K55-BTC BX X PN 3M",NO,2
20000217,ZSTO,"CASING PIPE 20"" 106.50PPF K-55 BTC PJ:20"" 106.5#-K55-BTC BX X PN 6M",NO,2
20000218,ZSTO,"CASING PIPE 20"" 106.50PPF K-55 BTC PJ:20"" 106.5# K55 BTC PIN X BOX 1.5M",NO,2
20000219,ZSTO,"CASING PIPE 20"" 133.00PPF J-55 HSL BOSS 20"" 133# J-55 HSL BOSS PIN X BOX 3.5MTR",NO,2
20000220,ZSTO,"CASING PIPE 20"" 129PPF X-56 RL4S PJ:20"" 129# X56 RL4S - 5M",NO,2
20000221,ZSTO,"CASING PIPE 20"" 129PPF X-56 RL-4S R3",M,2
20000222,ZSTO,"CASING PIPE 30"" 310.00PPF X65,LEOPARD W/80K,QUICK STABN",M,2
20000223,ZSTO,"CASING PIPE 30"" 310.00PPF X-65XLC-S LHBXXRHP XLC-S LHBX X RHPN",M,2
20000224,ZSTO,"CASING PIPE 30"" 310.00PPF X-56 XLCS API5L,X-56,XLCS",M,2
20000225,ZSTO,"CASING PIPE 30"" 310.00PPF X-65 XLCS R3",M,2
20000226,ZSTO,"CASING PIPE 20"" 129PPF X-56 RL-4S 20"" CSG ATTACHED WITH FS 129# X-56 RL-4S",NO,2
20000227,ZSTO,"CASING PIPE 20"" 129PPF X-56 RS-4S 20"" CSG ATTACHED WITH FC 129# X-56 RS-4S",NO,2
20000228,ZSTO,"CASING PIPE 20"" 133.00PPF J-55 RL-4S J-55 RL4S BOX BUTWELDED FS&FC",NO,2
20000229,ZSTO,"CASING PIPE 20"" 203PPF X-56 XLCS R3 X56/X65 XLC-S COND.CASING R3",M,2
20000230,ZSTO,"CASING PIPE 9-5/8"" 47PPF P-110 TC II 9-5/8"" 47# P110 TCII CASING W/ FC",NO,2
20000231,ZSTO,"CASING PIPE 9-5/8"" 47.00PPF P-110 TC II 9-5/8"" 47# P110 TCII CASING W/ FS",NO,2
20000232,ZSTO,"CASING PIPE 7"" 35.00PPF Q-125 BTC SHOOTING NIPPLE -17.705 M",NO,2
20000233,ZSTO,"CASING PIPE 13-3/8"" 72.00PPF L-80 BTC FC:13-3/8"" BTC 54.5-72# L80 4-1/4 SS II",NO,2
20000234,ZSTO,"CASING PIPE 7"" 29.00PPF P-110 VAMTOP 7"" PUP JOINT 29#P110 VAMTOP 5.08 M",NO,2
20000235,ZSTO,"CASING PIPE 7"" 29.00PPF P-110 VAMTOP 7"" PUP JOINT 29# P110 VAMTOP 3.08 M",NO,2
20000236,ZSTO,"CASING PIPE 7"" 29.00PPF P-110 VAMTOP 7"" PUP JOINT 29# P110 VAMTOP 1.07 M.",NO,2
20000237,ZSTO,"CASING PIPE 7"" 29.00PPF P-110 VAMTOP 7"" PUP JOINT 29# P110 VAMTOP 8.08M.",NO,2
20000238,ZSTO,"CASING PIPE 7"" 29.00PPF P-110 VAMTOP 7"" PUP JOINT 29#P110 VAMTOP 4.52 M.",NO,2
20000239,ZSTO,"CASING PIPE 7"" 29.00PPF P-110 VAMTOP 7"" PUP JOINT 29#P110 VAMTOP 7.54 M.",NO,2
20000240,ZSTO,"CASING PIPE 7"" 29.00PPF P-110 VAMTOP 7"" PUP JOINT 29#P110 VAMTOP 9.53 M.",NO,2
20000241,ZSTO,"CASING PIPE 7"" 29.00PPF P-110 VAMTOP 7"" PUP JOINT 29#P110VAMTOP 11.53 M.",NO,2
20000242,ZSTO,"CASING PIPE 7"" 32.00PPF P-110 VAMTOP 7"" 32#P 110 VAM TOP 4 M.",NO,2
20000243,ZSTO,"CASING PIPE 7"" 32.00PPF P-110 VAMTOP PJ:7"" 32# P-110 VAM TOP PIN X BOX 3MTR",NO,2
20000244,ZSTO,"CASING PIPE 7"" 35.00PPF Q-125 NSCC PJ:7"" 35# Q125 NSCC PIN X PIN 2MTR",NO,2
20000245,ZSTO,"CASING PIPE 7"" 35.00PPF Q-125 NSCC 7"" PUP JT 35# NSCC PIN - NSCC BX - 5 M",NO,2
20000246,ZSTO,"CASING PIPE 7"" 35.00PPF Q-125 NSCC 7"" PUP JT 35# Q125 NSCC PIN - NSCC BX - 3 M",NO,2
20000247,ZSTO,"CASING PIPE 7"" 35.00PPF Q-125 NSCC 7"" PUP JT 35# NSCC PIN- BX - 2MTR",NO,2
20000248,ZSTO,"CASING PIPE 7-5/8"" 39.00PPF C-110 PJ :7-5/8"",39#,C110 GRADE TSH BLUE, API DRIFT 6.5",NO,2
20000249,ZSTO,"CASING PIPE 9-5/8"" 53.50PPF Q-125 ABTC-II PJ:9-5/8IN 53.5# Q125 ABTC-II 5M",NO,2
20000250,ZSTO,"CASING PIPE 9-5/8"" 53.50PPF Q-125 ABTCII PJ:9-5/8IN 53.5# Q125 API-5CT ABTC-II 3M",NO,2
20000251,ZSTO,"CASING PIPE 9-5/8"" 53.50PPF Q-125 NV PJ:9-5/8"" 53.5# Q125 NV PIN X NV BOX 3M",NO,2
20000252,ZSTO,"CASING PIPE 9-5/8"" 53.50PPF P-110 NEW VAM PJ:9-5/8"" 53.5# P110 NEWVAM PIN X PIN 3M",NO,2
20000253,ZSTO,"CASING PIPE 9-5/8"" 53.50PPF Q-125 THB PJ:9-5/8"" 53.5# Q125 THB SD 8.5"" - 2M",NO,2
20000254,ZSTO,"CASING PIPE 9-5/8"" 53.50PPF Q-125 THB PJ:9-5/8"" 53.5# Q125 THB SD 8.5"" - 3M",NO,2
20000255,ZSTO,"CASING PIPE 9-5/8"" 53.50PPF Q-125 THB PJ:9-5/8"" 53.5# Q125 THB SD 8.5"" - 5M",NO,2
20000256,ZSTO,"CASING PIPE 13-3/8"" 68.00PPF L-80 BTC PJ:13-3/8"" 68# L80 BTC -2M",NO,2
20000257,ZSTO,"CASING PIPE 13-3/8"" 68.00PPF L-80 BTC PJ: 133/8"" 68#L80 BTC BX PIN 5M",NO,2
20000258,ZSTO,"CASING PIPE 13-3/8"" 68.00PPF L-80 BTC 133/8"" PUPJ 68# L80 BTC BXPIN 4.92 M",NO,2
20000259,ZSTO,"CASING PIPE 13-3/8"" 68.00PPF L-80 BTC PJ: 13-3/8"" 68# L80 BTC BXXPN 6M",NO,2
20000260,ZSTO,"CASING PIPE 13-3/8"" 68.00PPF L-80 BTC 13 3/8"" PUP JT 68# BTC PIN-PIN 5MTR",NO,2
20000261,ZSTO,"CASING PIPE 13-3/8"" 72.00PPF L-80 BTC 13-3/8"" 72# L 80 BTC PIN X PIN 2MTRS",NO,2
20000262,ZSTO,"CASING PIPE 13-3/8"" 72.00PPF L-80 BTC 13-3/8"" 72# L 80 BTC PIN X PIN 3MTRS",NO,2
20000263,ZSTO,"CASING PIPE 13-3/8"" 72.00PPF P-110 TSHMS PJ:13-3/8"" 72# P110 SD 12.25"" TSH MS 3M",NO,2
20000264,ZSTO,"CASING PIPE 13-3/8"" 72.00PPF P-110 TSHMS PJ:13-3/8"" 72# P110 SD 12.25"" TSH MS 5M",NO,2
20000265,ZSTO,"CASING PIPE 13-3/8"" 72.00PPF L-80 BTC PJ:13-3/8IN72# L80 BTC SPL DRIFT 12-1/4"" -5M",NO,2
20000266,ZSTO,"CASING PIPE 13-3/8"" 72.00PPF L-80 BTC PJ:13-3/8IN72# L80 BTC SPL DRIFT 12-1/4"" -2M",NO,2
20000267,ZSTO,"CASING PIPE 7"" 26.00PPF N-80 VT R3",M,2
20000268,ZSTO,"CASING PIPE 7"" 32.00PPF P-110 VT R3",M,2
20000269,ZSTO,"CASING PIPE 7"" 35.00PPF Q125 NSCC",M,2
20000270,ZSTO,"CASING PIPE 7-5/8"" 39.00PPF C-110 PGT CONN",M,2
20000271,ZSTO,"CASING PIPE 9-5/8"" 53.50PPF Q-125 VT R3",M,2
20000272,ZSTO,"CASING PIPE 9-5/8"" 53.5 PPF Q-125 BTC SPL DRIFT 8.5""",M,2
20000273,ZSTO,"CASING PIPE 9-5/8"" 53.50PPF Q-125 TENARIS BLUE",M,2
20000274,ZSTO,"CASING PIPE 13-3/8"" 72.00PPF L-80 BTC R3 BTC SPL DRIFT 12.25'",M,2
20000275,ZSTO,"CASING PIPE 13-3/8"" 72.00PPF P-110 TSHMS R3PSL3 SPL DRIFT 12.25""",M,2
20000276,ZSTO,"CASING PIPE 20"" 106.50PPF K-55 BTC K-55 BTC R3",M,2
20000277,ZSTO,"CASING PIPE 9 5/8"" 53.5 PPF Q125 R3 ABTC-II",M,2
20000278,ZSTO,"CASING PIPE 13-3/8"" 68 PPF N-80, BTC R3",M,2
20000279,ZSTO,"CASING PIPE 7"" 35.00PPF PREMIUM CONNECTION Q-125, 35PPF, 15CHROME PREMIUM CONNECTION",M,2
20000280,ZSTO,"CASING PIPE 5-1/2"" 20 PPF P-110 ABTC-II 6M SHORT PIPE",NO,2
20000281,ZSTO,"CASING PIPE 5-1/2"" 20 PPF P-110 ABTC-II 9M SHORT PIPE",NO,2
20000282,ZSTO,"CASING PIPE 9 5/8"" 47 PPF P-110 ABTC-II 6M SHORT PIPE",NO,2
20000283,ZSTO,"CASING PIPE 9-5/8"" 47 PPF P-110 ABTC-II 9M SHORT PIPE",NO,2
20000284,ZSTO,"CASING PIPE 7"" 38 PPF Q-125 PREMIUM",M,2
20000285,ZSTO,"PREM CASING 9-5/8"", L-80 47 PPF VAM TOP",M,2
20000286,ZSTO,"CASING PIPE 20"", 133PPF, X-56 VETCO, RL-4S,MSC",M,2
20000287,ZSTO,"CASING PIPE 7"" 35.00PPF PREMIUM CONNECTION Q-125, 22CHROME PREMIUM THREAD CONNE",M,2
20000288,ZSTO,"PREM CASING 4-1/2"", Q-125, 15.1#,22 CR",M,2
20000289,ZSTO,"CASING PIPE 9-5/8"" 47 PPF L-80, 13 CR PREMIUM JFE LION",M,2
20000290,ZSTO,"CASING PIPE 9-5/8"" 47 PPF L-80,PREMIUMTENARIS HYDRIL BLUE",M,2
20000291,ZSTO,"CASING PIPE 7"", 13 CR, 29 PPF L-80, PREMIUM JFE LION",M,2
20000292,ZSTO,"Casing pipe 7"", 29 ppf,  P110 WITH TENARIS HYDRIL BLUE PREMIUM CONNECTION",M,2
20000293,ZSTO,"Casing pipe 5-1/2"", 20 ppf,  P110 WITH TENARIS HYDRIL BLUE PREMIUM CONNECTION",M,2
20000294,ZSTO,"CASING PIPE 7"", 13 CR, 29 PPF L-80, PREMIUM JFE BEAR",M,2
20000295,ZSTO,"CASING PIPE 9-5/8"", 13 CR, L-80, 47 PPF PREMIUM JFE BEAR",M,2
20000296,ZSTO,"CASING PIPE 7"",L-80,29 PPF VAM 21 PREMTHREAD",M,2
20000297,ZSTO,"CASING PIPE 7"" 35.00PPF PREMIUM CONNECTION P-110, TSH-3SB PREMIUM THREAD CONNECTION",M,2
20000298,ZSTO,"PREM CASING 5-1/2"", P-110,20 PPF TSH-3SB",M,2
20000299,ZSTO,"CASING PIPE 7"" 29 PPF P-110 PREMIUM PREMIUM THREAD CONNECTION-HAUNTING SEAL-LOCK XD",M,2
20000300,ZSTO,"PREM CASING 7"" P-110,35# TSH-BLUE",M,2
20000301,ZSTO,"PREM CASING 7"" P-110,35# TSH-BLUE 4 MTLENGTH",NO,2
20000302,ZSTO,"PREM CASING 7"" P-110,35# TSH-BLUE 6 MTLENGTH",NO,2
20000303,ZSTO,"PREM CASING 7"" P-110,35# TSH-BLUE 5 MTLENGTH",NO,2
20000304,ZSTO,"PREM CASING 7"" P-110,35# TSH-BLUE 7 MTLENGTH",NO,2
20000305,ZSTO,"PREM CASING 9-5/8"" Q-125,53.5# TSH-BLUE",M,2
20000306,ZSTO,"PREM CASING 7"" Q-125,35# TSH-BLUE",M,2
20000307,ZSTO,"PREM CASING 9-5/8"",P-110 47 PPF, TSH-3SB",M,2
20000308,ZSTO,"PREM CASING 7"" P-110,29# TSH-3SB, 4 MTS SHORT LENGTH CASING PIPES",NO,2
20000309,ZSTO,"PREM CASING 7"" P-110,29# TSH-3SB, 5 MTS SHORT LENGTH CASING PIPES",NO,2
20000310,ZSTO,"PREM CASING 7"" P-110,29# TSH-3SB, 6 MTS SHORT LENGTH CASING PIPES",NO,2
20000311,ZSTO,"PREM CASING 7"" P-110,29# TSH-3SB, 7 MTS SHORT LENGTH CASING PIPES",NO,2
20000312,ZSTO,"CASING PIPE 9-5/8"" 47 PPF L-80, PREMIUM TSH 3SB",M,2
20000313,ZSTO,"CASING PIPE 5 1/2"" 23 PPF Q125 PREMIUMVA SUPERIOR THREAD",M,2
20000314,ZSTO,"CASING PIPE 5-1/2"" P110 20PPF SHORT CASING VA SUPERIOR- 6M",NO,2
20000315,ZSTO,"CASING PIPE 5-1/2"" P110 20PPF SHORT PREMIUM CASING VA SUPERIOR- 9M",NO,2
20000316,ZSTO,"CASING PIPE 5"", 18 PPF Q-125 PREMIUM HUNTING SEAL LOCK FLUSH CONNECTION",M,2
20000317,ZSTO,"CASING PIPE 5-1/2"",P110,20PPF VA SUPERIOR PREMIUM",M,2
20000318,ZSTO,"CASING PIPE 9-5/8"",P-110 47 PPF P-110 TSH 3SB",M,2
20000319,ZSTO,"CASING PIPE 7"" OD 35 PPF Q-125 HSL XD",M,2
20000320,ZSTO,"PREM CASING 7"" 38 PPF Q-125, VAM 21",M,2
20000321,ZSTO,"CASING PIPE 5"", 18 PPF L-80 PREMIUM HUNTING SEAL LOCK FLUSH JOINT",M,2
20000322,ZSTO,"CASING PIPE 4-1/2"" 18.9 PPF Q-125, VAMTOP",M,2
20000323,ZSTO,"CASING PIPE 7"",L-80,29 PPF NSCC PREMIUM",M,2
20000324,ZSTO,"PREM CASING 9-5/8"", L-80 47 PPF 13 CR,HSL-XD",M,2
20000325,ZSTO,"PREM CASING 7"", L-80 13 CR,29 PPF HSL-XD",M,2
20000326,ZSTO,"CASING PIPE 7"",P-110 35 PPF BTC",M,2
20000327,ZSTO,"PREM CASING 5 1/2"",P-110,23PPF WITH VASUPERIOR CONNECTION",M,2
20000328,ZSTO,"PREM CASING 5"",Q-125,18PPF, FLUSH JOINT WITH TSH WEDGE 513 CONNECTION",M,2
20000329,ZSTO,"PREM CASING 11 3/4"",L-80,60PPF, FLUSH JOINT WITH VAM BOLT II CONNECTION",M,2
20000330,ZSTO,"PREM CASING 9 5/8"",Q-125,53.5PPF FLUSHJOINT WITH VAM HTFNR CONNECTION",M,2
20000331,ZSTO,"PREM CASING 5"",L-80,18PPF, FLUSH JOINTWITH TSH WEDGE 513 CONNECTION",M,2
20000332,ZSTO,"CASING PIPE 9 5/8"",47PPF PREMIUM L-80,HUNTING SEAL LOCK XD",M,2
20000333,ZSTO,"PREM CASING 7"" 35 PPF Q 125 LENGTH: 4 METRES",NO,2
20000334,ZSTO,"CASING PIPE 5-1/2"",P110,20PPF LENGTH: 4 MTRS",NO,2
20000335,ZSTO,"CASING PIPE 5-1/2"" 20.00PPF L-80 BTC SHORT PIPE 5 M",NO,2
20000336,ZSTO,"PREM CASING 11-3/4"", N-80, 60 PPF, FLUSH JOINT, PREMIUM CONNECTION",M,2
20000337,ZSTO,"PREM CASING 9-5/8"", L-80, 47 PPF , FLUSH JOINT, PREM CONNECTION",M,2
20000338,ZSTO,"CASING PIPE 13-3/8"" 68 PPF P-110 PREMIUM",M,2
20000339,ZSTO,"PREM CASING 13 3/8"" 68 PPF P 110",M,2
20000340,ZSTO,"CASING PIPE 5"" OD 18 PPF L-80 BTC.",M,2
20000341,ZSTO,"PREM CASING 9 5/8"",Q-125,53.5PPF VAM 21 CONNECTION",M,2
20000342,ZSTO,"PREM CASING 7"" 35 PPF Q 125 VAM 21 CONNECTION",M,2
20000343,ZSTO,"PREM CASING 13-3/8"" P-110 72 PPF",M,2
20000344,ZSTO,"CASING PIPE 16"" 84 PPF L-80 BTC",M,2
20000345,ZSTO,"PREM CASING 5-1/2"",P110,20PPF HUNTING SEAL LOCK XD CONNECTION",M,2
20000346,ZSTO,"PREM CASING 5"",P-110 18 PPF HUNTING SEAL LOCK FJL CONNECTION",M,2
20000347,ZSTO,"PREM CASING 11-3/4"", N-80, 60 PPF VAM FJL CONNECTION",M,2
20000348,ZSTO,"CASING PIPE 13-3/8"" 68 PPF P-110 BTC 9METERS",NO,2
20000349,ZSTO,"CASING PIPE 13-3/8"" 72 PPF Q-125 BTC 6METERS",NO,2
20000350,ZSTO,"CASING PIPE 13-3/8"" 72 PPF Q-125 BTC 9METERS",NO,2
20000351,ZSTO,"PREM CASING 9-5/8"" P-110, 47 PPF TMK CENTUM UP PREMIUM CONNECTION",M,2
20000352,ZSTO,"PREM CASING 7"",P-110,35 PPF,TMK CENTUMUP CONNECTION",M,2
20000353,ZSTO,"PREM CASING 9-5/8"", L-80, 47 PPF HSL FLUSH JOINT THREAD",M,2
20000354,ZSTO,"PREM CASING 7"",P-110,35 PPF TMK CENTUMUP SHORT CASING 4 M",NO,2
20000355,ZSTO,"PREM CASING 7"",P-110,35 PPF TMK CENTUMUP SHORT CASING 6 M",NO,2
20000356,ZSTO,"PREM CASING 7"", L-80 29 PPF HUNTING SEAL LOCK XD THREAD",M,2
20000357,ZSTO,"PREM CASING 7"" Q 125 35 PPF 4 M SHORT PIPE CASING",NO,2
20000358,ZSTO,"PREM CASING 9 5/8"",Q-125,53.5PPF HUNTING SEAL LOCK XD CONNECTION",M,2
20000359,ZSTO,"PREM CASING 7"",13 CR, L-80,29PPF VAM-21 CONNECTION THREAD",M,2
20000360,ZSTO,"PREM CASING 9-5/8"",13CR,L-80 47 PPF,JFELION THREAD CONNECTION",M,2
20000361,ZSTO,"CASING PIPE 20""OD,X-56,0.625""WT 133 PPF WITH OSI LEOPARD SD-IF MULTISTART CONNECTOR",M,2
20000362,ZSTO,"CASING PIPE 20""OD,X-56,0.625""WT 133 PPF WITH OSI LEOPARD SD IF MULTISTART CONNECTOR 6M",NO,2
20000363,ZSTO,"CASING PIPE 20""OD,X-56,0.625""WT 133 PPF WITH OSI LEOPARD SD IF MULTISTART CONNECTOR 4M",NO,2
20000364,ZSTO,"CASING PIPE 7"", 13 CR, 29 PPF L-80, PREMIUM VA SUPERIOR",M,2
20000365,ZSTO,"CASING PIPE 13-3/8"" 68 PPF J-55 BTC ERW",M,2
20000366,ZSTO,"CASING PIPE 13-3/8"" 68 PPF L-80 BTC ERW",M,2
20000367,ZSTO,"CASING PIPE 9 5/8"" 40 PPF J-55 BTC ERW",M,2
20000368,ZSTO,"CASING PIPE 9 5/8"" 47 PPF L-80 BTC ERW",M,2
